English,Urdu
i think zain liked it,تین ہفتے گزر گئے
three weeks went by,زین ذلیل محسوس ہوا
zain felt humiliated,میں چھ فٹ لمبا ہوں
i am six feet tall,مجھے دھوئیں کی ضرورت ہے
i need a smoke,جو کچھ بچا تھا
what was left,مجھے رونے کا احساس ہوا
i felt like crying,اس نے مجھ سے جھوٹ بولا
he lied to me,زین بس سے اتر گیا
zain got off the bus,زین ایک بڑا کھانے والا ہے
zain is a big eater,زین نے ٹی وی ڈنر کھایا
zain ate a tv dinner,اپنی ٹوپی ہٹادیں
remove your hat,کیا آپ قریب ہی رہتے ہیں
do you live nearby,اس کی
its forbidden,مجھے آج برا لگتا ہے
i feel bad today,جو بہتر ہے
which is better,Do i know you
i know you,یہ آپ کی مدد نہیں کرے گا
it wont help you,میں نے اسے مضبوطی سے گلے لگایا
i hugged her tightly,میں پیرس میں ہوں
i am in paris,ایک برا لڑکا نہ بنیں
dont be a bad boy,زین نے ہدف کو نشانہ بنایا
zain hit the target,اس نے ادائیگی سے انکار کر دیا
he refused to pay,اس نے ٹوپی پہن رکھی ہے
he is wearing a hat,ہم جانے دیں گے
we will lets go,کیا آپ اس کی تصدیق کر سکتے ہیں
can you confirm that,چوری غلط ہے
stealing is wrong,وہ فٹ بال میں اچھا ہے
he is good at soccer,وہ الجھے ہوئے نظر آتے ہیں
they look confused,ہم نے آپ کو یاد کیا
weve missed you,میرے جوتے گیلے ہو گئے
my shoes got wet,براہ مہربانی میری مدد کریں
help me please,مجھ سے مت پوچھو کیوں
dont ask me why,میرے پاس کافی پیسے ہیں
i have enough money,زین نے اسے دیکھا ہوگا
zain may have seen it,یہ آپ کی قسمت ہے
this is your fate,اس کے اندر اندھیرا
its dark inside,زین مشغول
zains engaged,زین پیچھے رہ گیا
zain was left behind,میں بوسیدہ ہو چکا ہوں
i am worn out,میں زکام پکڑنے کا رجحان رکھتے ہیں
i tend to catch colds,میں نے زین کی چابیاں مل گئی ہیں
i have got zains keys,کيا تم مصروف ہو
are you busy,اسے پکڑنا
grab him,میں کچھ نہیں کر سکتا
i cant do anything,میں اپنے کام میں اچھا ہوں
i am good at my work,ہم ایک بڑا کتا ہے
we have a big dog,یہ آپ کو کس نے دیا
who gave this to you,ہم نے زبانی امتحان دیا تھا
we had an oral exam,زین کام کرنا چاہتا ہے
zain wants to work,کیا ہمارا کھانا لمبا ہوگا
will our food be long,اس کا بیکار کباڑ
its worthless junk,کچھ غائب
somethings missing,یہ انصاف ہے
thats justice,یہ یہاں میں بدبو دار ہے
it stinks in here,زین قائد ہے
zain is the leader,میں پاگل نہیں ہوں
i am not crazy,زین نظام جانتا ہے
zain knows the system,یہ آسان لگتا ہے
it sounds simple,اسے نہ خریدیں
dont buy that,مجھے ایسا کرنے میں کوئی اعتراض نہیں ہے
i dont mind doing it,آپ کو مجھے معاف کرنا چاہئے
you must forgive me,مجھے امید ہے کہ زین اس سے اتفاق کرتا ہے
i hope zain agrees,یہ کیسے ہوسکتا ہے
how can this be,آپ کو مجھ سے کوئی کام تھا کیا
did you miss me,میں اس سے انکار نہیں کر سکتا
i cant deny that,ڈھیلا
loosen up,میں آج رات کھانا پکاوں گا
i will cook tonight,کیا آپ کو پسند آیا
did you like it,براہ مہربانی میری قسمت کی خواہش کریں
please wish me luck,ہم عرب ہیں
we are arabs,مجھے بات کرنے دو
let me talk,یہاں مت رکو
dont stop here,میں نے انہیں دیکھا
i saw them,یہ کب ختم ہوا
when was it finished,زین ماہر ہے
zain is the expert,زین دباؤ میں لگتا ہے
zain seems stressed,یہ جلدی تھا
that was quick,وہ بوڑھی ہو رہی ہے
she is getting older,زین اس جگہ کو جانتا ہے
zain knows this place,میری نظروں سے ہٹ جاؤ
get out of my sight,کیا وہ ایک ڈاکٹر ہے
is she a doctor,یہ آپ کے لئے ہے ٹام
this is for you tom,وہ دوپہر کا کھانا کھا رہا ہے
he is having lunch,یہاں تک کہ میری ماں جانتی ہے
even my mom knows,یہ یہاں میں ایک گندگی ہے
it is a mess in here,کیا میں آپ کے ساتھ چند قدم چل سکتا ہوں
can i walk a few steps with you,میں خطرے کو جانتا تھا
i knew the risk,میں نے ایک گھٹیا دن گزرا ہے
i have had a lousy day,وہ رو رہا تھا
he was crying,ہر کوئی بچ گیا
everyone survived,میں نااہل نہیں ہوں
i am not incompetent,میں ایک ابتدائی ہوں
i am a beginner,زین وہاں سے باہر ہے
zain is out there,میں تھوڑا تھکا ہوا نہیں تھا
i was not a bit tired,دوبارہ شروع کریں
start over,وہ کیک سے محبت کرتی ہے
she loves cake,مجھے پاپ موسیقی پسند ہے
i like pop music,میں اس پر یقین نہیں کر سکتا
i cant believe it,زین نے ہمت نہیں ہاری
zain didnt give up,زین لاپتہ ہو گیا
zain went missing,اپنے آپ کو چیلنج کریں
challenge yourself,کیا آپ پہلی بار میری درخواست قبول کرتے ہیں
do you accept my request for the first time,میں ٹھنڈا ہوں
i am cold,روشنی چل گئی
the light went on,مجھے کیوں پابندی لگائی گئی
why was i banned,بلیاں محفوظ ہیں
the cats are safe,مجھے کچھ پتہ چلا
i found out something,میں تقریبا 2:30 بجے وہاں پہنچجاؤں گا
i'll get there at about 2:30,کبوتر چل رہا ہے
the pigeon is cooing,لڑکا مہربان ہے
the boy is kind,وہ ایک شریف آدمی ہے
he is a gentleman,جھوٹ بولنے والے زین
zains lying,ہم کئی دنوں کے بعد آپ کو دیکھ کر خوش ہیں
we are happy to see you after many days,میں اس پر بھروسہ نہیں کر سکتا
i cant trust him,میں تم پر پاگل ہوں
i am mad at you,سلامتی کال کریں
call security,نہ گانا
dont sing,آپ اپنے کھانے کے ساتھ کیا پینا چاہیں گے
what would you like to drink with your meal,زین لالچی نہیں ہے
zain isnt greedy,ہم نے غلطیاں کیں
we made mistakes,میں نے آپ کو حاصل
i get you,یہ بہت خطرناک ہے
its very dangerous,اسے نہ دہرائیں
dont repeat that,زین بیکار ہے
zain is useless,میں ٹام کو قائل نہیں کر سکتا
i cant convince tom,میں تنہا ہوں
i am a loner,ہمیں صرف پانی کی ضرورت ہے
all we need is water,یہ میرا منصوبہ ہے
this is my plan,اپنے آپ پر فخر کریں
be proud of yourself,زین اب سو رہا ہے
zain is sleeping now,جہاں زین اب
wheres zain now,میں آپ سے درخواست کرتا ہوں کہ میری مدد کریں
i beg you to help me,یہ ایک مچھلی ہے
thats a fish,آپ کو ہماری مدد کرنی ہوگی
you have to help us,مجھے اس کا ناول پسند ہے
i like her novel,اس نے میرے گھر بلایا
he called at my house,کیا آپ اسے آزمانا چاہتے ہیں
do you want to try it,وہ ہمیشہ گھورتا رہتا ہے
he is always scowling,زین ریاضی میں اچھا ہے
zain is good at math,اپنے خاندان کے بارے میں سوچیں
think of your family,شاید میں غلط تھا
perhaps i was wrong,چور ایک میل کے فاصلے پر ایک سیاح کی بو سونگھ سکتے ہیں
thieves can smell a tourist a mile away,کیا تم پاگل ہو
are you insane,یہ صرف بہت سچ ہے
it is only too true,بلکہ میں نہیں جانتا تھا
i had rather not know,یہ آپ کا کوئی کام نہیں ہے
it’s none of your business,مجھے معاف
excuse me,میں بہت غیر مطمئن ہوں
i am very discontented,میں شرط لگا تا ہوں زین بھول گیا
i bet zain forgot,میں بہت کھو یا محسوس کرتا ہوں
i feel so lost,وہ ہانپ رہے تھے
they were panting,میں اکیلے یہ کر سکتے ہیں
i can do this alone,ہم بور تھے
we were bored,یہ بہت آسان تھا
it was very simple,میں اسے دیکھنا چاہتا ہوں
i want to see it,مجھے لگتا ہے کہ برابر تھے
i think were even,میں پیانو بجاتا ہوں
i play the piano,میرا مطلب کوئی جرم نہیں تھا
i meant no offense,زین نے معذرت کر لی
zain apologized,ہم نے ساری رات پی لیا
we drank all night,زین ایک اچھا بوسہ لینے والا ہے
zain is a good kisser,زین کے پاس بندوق تھی
zain had a gun,میں نہیں جانتا کہ کیا کہنا ہے
i dont know what to say,وہ لالچی اور کاہل ہے
he is greedy and lazy,مریم عجیب ہے
mary is weird,یہ میرا مگ ہے
is that my mug,براہ کرم یہ پتہ لکھیں
please write down this address,کیا ہم جلد ہی جا رہے ہیں
are we leaving soon,وہ مجرم پائی گئی
she was found guilty,زین نے جلدی سے جواب دیا
zain answered quickly,آپ بچ گئے
you survived,میں صبح سے باہر ہوں
i have been out since morning,وہ دوبارہ یہاں آیا
he came here again,اس کا مزاج خراب ہے
he has a bad temper,وہ پہلے ہی یہاں ہیں
they are already here,کون آ رہا ہے
whos coming,ہم کیوں ہنس رہے ہیں
why are we laughing,ویو کافی مل گیا
weve got enough,میں اکثر گاڑی نہیں چلاتا
i dont drive often,وہ ایک ماہ کے اندر اندر پہنچ جائے گا
he will reach within a month,آپ بالکل ٹھیک کہہ رہے ہیں
you are totally right,زین خواب دیکھ رہا ہے
zain is dreaming,وہ ایک فیراری چلاتا ہے
he drives a ferrari,کپاس پانی چوس تی ہے
cotton sucks up water,انہوں نے تقریر کی
he delivered a speech,بندوق جام ہے
the gun is jammed,کیا آپ دونوں ٹھیک ہیں
are you two ok,اپنا غصہ نہ کھودیں
don’t lose your temper,پیر کو چھٹی
mondays a holiday,زین پیاسا ہے
zain is thirsty,نہیں میں نے مدد نہیں کی
no i didnt help,وہ ایک نفسیاتی ہے
he is a psychic,اس کی سردی بڑھ رہی ہے
its getting colder,مجھے کام کرنا پڑا
i had to work,یہ میری لغت ہے
thats my dictionary,اس کے پہلے ہی سات
its already seven,وہ تپسیا کر رہا ہے
he is doing penance,میں کینیڈین نہیں ہوں
i am not a canadian,کتے سے ہوشیار رہو
beware of the dog,وہ میرے خلاف ہے
that/he is against me,یہ آسان ہے
thats simple,کیا میں جیت گیا
did i win,اس نے صرف اتنا ہی لکھا ہے
thats all she wrote,ٹرین صبح 12 بجے نہیں نکلتی
the train does not leave at 12 am,زین ایک طرف ہٹ گیا
zain stepped aside,میں تفصیلات میں گیا
i went into details,آپ سخت محنت کرتے ہیں
you work hard,مجھے گوشت پسند نہیں ہے
i do not like meat,میں یہاں رہوں گا
i will stay here,ہم کچھ مشورہ چاہتے ہیں
we want some advice,میں نے جھوٹ نہیں بولا
i didnt lie,آپ کا وقت ختم ہو گیا ہے
your time is over,میں نے ایک غلطی کی
i made a mistake,یہ ہمارا گھر ہے۔
this is our home,مکڑی مر چکی ہے
the spider is dead,مجھے انتظار کر رہی تھی
you are lying,میں صحت یاب ہوا
i recovered,زین مفت سیٹ کریں
set zain free,براہ مہربانی شائستہ رہیں
please be polite,اس کا ارادہ غلط ہے
his intention is wrong,میں نے ابھی تک نہیں کھایا ہے
i havent eaten yet,ہم سب کے پاس راز ہیں
we all have secrets,میں کسی چیز سے نہیں ڈرتا
i am not afraid of anything,بات نہ کریں
dont talk,میں یہاں کام نہیں کرتا
i dont work here,شرائط کو حتمی شکل دی گئی
